topic_str,post
34,"Jim, if I if I can just respond very quickly, first of all, every study has shown that Medicare has lower administrative costs than private insurance does, which is why seniors are generally pretty happy with it."
1,And private insurers have to make a profit.
0,Nothing wrong with that.
0,That's what they do.
20,"And so you've got higher administrative costs, plus profit on top of that."
4,"And if you are going to save any money through what Governor Romney's proposing, what has to happen is, is that the money has to come from somewhere."
34,"And when you move to a voucher system, you are putting seniors at the mercy of those insurance companies."
34,"And over time, if traditional Medicare has decayed or fallen apart, then they're stuck."
34,And this is the reason why AARP has said that your plan would weaken Medicare substantially.
8,And that's why they were supportive of the approach that we took.
16,One last point I want to make.
34,"We do have to lower the cost of health care, not just in Medicare and Medicaid|"
0,but but but overall.
0,And so|
0,Is that a is that a separate topic?
0,I'm sorry.
0,Absolutely.
0,I think this is a great example.
4,The reason we have been in such a enormous economic crisis was prompted by reckless behavior across the board.
9,"Now, it wasn't just on Wall Street."
13,"You had loan officers were that were giving loans and mortgages that really shouldn't have been given, because the folks didn't qualify."
13,You had people who were borrowing money to buy a house that they couldn't afford.
25,You had credit agencies that were stamping these as Aone great investments when they weren't.
31,"But you also had banks making money hand over fist, churning out products that the bankers themselves didn't even understand, in order to make big profits, but knowing that it made the entire system vulnerable."
0,So what did we do?
2,We stepped in and had the toughest reforms on Wall Street since the one thousand nine hundred thirtys.
25,"We said you've got banks, you've got to raise your capital requirements."
25,You can't engage in some of this risky behavior that is putting Main Street at risk.
4,We've going to make sure that you've got to have a living will so so we can know how you're going to wind things down if you make a bad bet so we don't have other taxpayer bailouts.
4,"In the meantime, by the way, we also made sure that all the help that we provided those banks was paid back every single dime, with interest."
23,"Now, Governor Romney has said he wants to repeal Dodd Frank."
25,"And, you know, I appreciate and it appears we've got some agreement that a marketplace to work has to have some regulation."
14,"But in the past, Governor Romney has said he just want to repeal Dodd Frank, roll it back."
4,And so the question is: Does anybody out there think that the big problem we had is that there was too much oversight and regulation of Wall Street?
14,"Because if you do, then Governor Romney is your candidate."
0,But that's not what I believe.
14,"Well, four years ago, when I was running for office, I was traveling around and having those same conversations that Governor Romney talks about."
1,And it wasn't just that small businesses were seeing costs skyrocket and they couldn't get affordable coverage even if they wanted to provide it to their employees.
