"","person","tot","time","role","dialogue"
"1","LEHRER","1.1","time 1","moderator","We'll talk about specifically about health care in a moment."
"2","LEHRER","1.2","time 1","moderator","But what do you support the voucher system, Governor?"
"3","ROMNEY","2.1","time 1","candidate","What I support is no change for current retirees and near retirees to Medicare."
"4","ROMNEY","2.2","time 1","candidate","And the president supports taking dollar seven hundred sixteen billion out of that program."
"5","LEHRER","3.1","time 1","moderator","And what about the vouchers?"
"6","ROMNEY","4.1","time 1","candidate","So that's that's number one."
"7","ROMNEY","4.2","time 1","candidate","Number two is for people coming along that are young, what I do to make sure that we can keep Medicare in place for them is to allow them either to choose the current Medicare program or a private plan."
"8","ROMNEY","4.3","time 1","candidate","Their choice."
"9","ROMNEY","4.4","time 1","candidate","They get to choose and they'll have at least two plans that will be entirely at no cost to them."
"10","ROMNEY","4.5","time 1","candidate","So they don't have to pay additional money, no additional dollar six thousand."
"11","ROMNEY","4.6","time 1","candidate","That's not going to happen."
"12","ROMNEY","4.7","time 1","candidate","They'll have at least two plans."
"13","ROMNEY","4.8","time 1","candidate","And by the way, if the government can be as efficient as the private sector and offer premiums that are as low as the private sector, people will be happy to get traditional Medicare or they'll be able to get a private plan."
"14","ROMNEY","4.9","time 1","candidate","I know my own view is I'd rather have a private plan."
"15","ROMNEY","4.10","time 1","candidate","I'd just assume not have the government telling me what kind of health care I get."
"16","ROMNEY","4.11","time 1","candidate","I'd rather be able to have an insurance company."
"17","ROMNEY","4.12","time 1","candidate","If I don't like them, I can get rid of them and find a different insurance company."
"18","ROMNEY","4.13","time 1","candidate","But people make their own choice."
"19","ROMNEY","4.14","time 1","candidate","The other thing we have to do to save Medicare?"
"20","ROMNEY","4.15","time 1","candidate","We have to have the benefits high for those that are low income, but for higher income people, we're going to have to lower some of the benefits."
"21","ROMNEY","4.16","time 1","candidate","We have to make sure this program is there for the long term."
"22","ROMNEY","4.17","time 1","candidate","That's the plan that I've put forward."
"23","ROMNEY","4.18","time 1","candidate","And, by the way the idea came not even from Paul Ryan or or Senator Wyden, who's the co author of the bill with with Paul Ryan in the Senate, but also it came from Bill Bill Clinton's chief of staff."
"24","ROMNEY","4.19","time 1","candidate","This is an idea that's been around a long time, which is saying, hey, let's see if we can't get competition into the Medicare world so that people can get the choice of different plans at lower cost, better quality."
"25","ROMNEY","4.20","time 1","candidate","I believe in competition."
"26","OBAMA","5.1","time 1","candidate","Jim, if I if I can just respond very quickly, first of all, every study has shown that Medicare has lower administrative costs than private insurance does, which is why seniors are generally pretty happy with it."
"27","OBAMA","5.2","time 1","candidate","And private insurers have to make a profit."
"28","OBAMA","5.3","time 1","candidate","Nothing wrong with that."
"29","OBAMA","5.4","time 1","candidate","That's what they do."
"30","OBAMA","5.5","time 1","candidate","And so you've got higher administrative costs, plus profit on top of that."
"31","OBAMA","5.6","time 1","candidate","And if you are going to save any money through what Governor Romney's proposing, what has to happen is, is that the money has to come from somewhere."
"32","OBAMA","5.7","time 1","candidate","And when you move to a voucher system, you are putting seniors at the mercy of those insurance companies."
"33","OBAMA","5.8","time 1","candidate","And over time, if traditional Medicare has decayed or fallen apart, then they're stuck."
"34","OBAMA","5.9","time 1","candidate","And this is the reason why AARP has said that your plan would weaken Medicare substantially."
"35","OBAMA","5.10","time 1","candidate","And that's why they were supportive of the approach that we took."
"36","OBAMA","5.11","time 1","candidate","One last point I want to make."
"37","OBAMA","5.12","time 1","candidate","We do have to lower the cost of health care, not just in Medicare and Medicaid|"
"38","LEHRER","6.1","time 1","moderator","Talk about that in a minute."
"39","OBAMA","7.1","time 1","candidate","but but but overall."
"40","LEHRER","8.1","time 1","moderator","OK."
"41","OBAMA","9.1","time 1","candidate","And so|"
"42","ROMNEY","10.1","time 1","candidate","That's that's a big topic."
"43","ROMNEY","10.2","time 1","candidate","Can we can we stay on Medicare?"
"44","OBAMA","11.1","time 1","candidate","Is that a is that a separate topic?"
"45","LEHRER","12.1","time 1","moderator","Yeah, we're going to yeah, I want to get to it."
"46","OBAMA","13.1","time 1","candidate","I'm sorry."
"47","LEHRER","14.1","time 1","moderator","But all I want to do is go very quickly|"
"48","ROMNEY","15.1","time 1","candidate","Let's get back to Medicare."
"49","LEHRER","16.1","time 1","moderator","before we leave the economy|"
"50","ROMNEY","17.1","time 1","candidate","Let's get back to Medicare."
"51","ROMNEY","17.2","time 1","candidate","The president said that the government can provide the service at lower cost and without a profit."
