topic_str,post
34,What I support is no change for current retirees and near retirees to Medicare.
4,And the president supports taking dollar seven hundred sixteen billion out of that program.
0,So that's that's number one.
34,"Number two is for people coming along that are young, what I do to make sure that we can keep Medicare in place for them is to allow them either to choose the current Medicare program or a private plan."
0,Their choice.
1,They get to choose and they'll have at least two plans that will be entirely at no cost to them.
20,"So they don't have to pay additional money, no additional dollar six thousand."
0,That's not going to happen.
4,They'll have at least two plans.
34,"And by the way, if the government can be as efficient as the private sector and offer premiums that are as low as the private sector, people will be happy to get traditional Medicare or they'll be able to get a private plan."
27,I know my own view is I'd rather have a private plan.
1,I'd just assume not have the government telling me what kind of health care I get.
1,I'd rather be able to have an insurance company.
1,"If I don't like them, I can get rid of them and find a different insurance company."
30,But people make their own choice.
34,The other thing we have to do to save Medicare?
20,"We have to have the benefits high for those that are low income, but for higher income people, we're going to have to lower some of the benefits."
34,We have to make sure this program is there for the long term.
9,That's the plan that I've put forward.
23,"And, by the way the idea came not even from Paul Ryan or or Senator Wyden, who's the co author of the bill with with Paul Ryan in the Senate, but also it came from Bill Bill Clinton's chief of staff."
34,"This is an idea that's been around a long time, which is saying, hey, let's see if we can't get competition into the Medicare world so that people can get the choice of different plans at lower cost, better quality."
22,I believe in competition.
0,That's that's a big topic.
34,Can we can we stay on Medicare?
34,Let's get back to Medicare.
34,Let's get back to Medicare.
14,The president said that the government can provide the service at lower cost and without a profit.
9,"If that's the case, then it will always be the best product that people can purchase."
25,But my experience my experience the private sector typically is able to provide a better product at a lower cost.
0,Absolutely.
0,Absolutely.
0,Regulation is essential.
2,You can't have a free market work if you don't have regulation.
25,"As a businessperson, I had to have I need to know the regulations."
0,I needed them there.
25,You couldn't have people opening up banks in their in their garage and making loans.
2,"I mean, you have to have regulations so that you can have an economy work."
9,Every free economy has good regulation.
9,"At the same time, regulation can become excessive."
0,"In some places, yes."
0,"Other places, no."
0,"No, it can become out of date."
9,"And what's happened with some of the legislation that's been passed during the president's term, you've seen regulation become excessive, and it's hurt it's hurt the economy."
0,Let me give you an example.
