topic_str,post,label,seen?,new_id,ori_topic,pred_label
obamacare healthcare seniors,What I support is no change for current retirees and near retirees to Medicare.,2,0,1078,obamacare healthcare seniors,1
spending bipartisan obamacare,And the president supports taking dollar seven hundred sixteen billion out of that program.,2,0,1079,spending bipartisan obamacare,1
sen pass agree,So that's that's number one.,2,0,1080,sen pass agree,2
obamacare healthcare seniors,"Number two is for people coming along that are young, what I do to make sure that we can keep Medicare in place for them is to allow them either to choose the current Medicare program or a private plan.",2,0,1081,obamacare healthcare seniors,1
sen pass agree,Their choice.,2,0,1082,sen pass agree,1
obamacare healthcare insurance,They get to choose and they'll have at least two plans that will be entirely at no cost to them.,2,0,1083,obamacare healthcare insurance,1
workers obamacare jobs,"So they don't have to pay additional money, no additional dollar six thousand.",2,0,1084,workers obamacare jobs,2
sen pass agree,That's not going to happen.,2,0,1085,sen pass agree,0
spending bipartisan obamacare,They'll have at least two plans.,2,0,1086,spending bipartisan obamacare,1
obamacare healthcare seniors,"And by the way, if the government can be as efficient as the private sector and offer premiums that are as low as the private sector, people will be happy to get traditional Medicare or they'll be able to get a private plan.",2,0,1087,obamacare healthcare seniors,1
news read listen,I know my own view is I'd rather have a private plan.,2,0,1088,news read listen,2
obamacare healthcare insurance,I'd just assume not have the government telling me what kind of health care I get.,2,0,1089,obamacare healthcare insurance,1
obamacare healthcare insurance,I'd rather be able to have an insurance company.,2,0,1090,obamacare healthcare insurance,1
obamacare healthcare insurance,"If I don't like them, I can get rid of them and find a different insurance company.",2,0,1091,obamacare healthcare insurance,1
vote voted republicans,But people make their own choice.,2,0,1092,vote voted republicans,0
obamacare healthcare seniors,The other thing we have to do to save Medicare?,2,0,1093,obamacare healthcare seniors,1
workers obamacare jobs,"We have to have the benefits high for those that are low income, but for higher income people, we're going to have to lower some of the benefits.",2,0,1094,workers obamacare jobs,2
obamacare healthcare seniors,We have to make sure this program is there for the long term.,2,0,1095,obamacare healthcare seniors,1
president obama legislation,That's the plan that I've put forward.,2,0,1096,president obama legislation,1
senator senate congressman,"And, by the way the idea came not even from Paul Ryan or or Senator Wyden, who's the co author of the bill with with Paul Ryan in the Senate, but also it came from Bill Bill Clinton's chief of staff.",2,0,1097,senator senate congressman,0
obamacare healthcare seniors,"This is an idea that's been around a long time, which is saying, hey, let's see if we can't get competition into the Medicare world so that people can get the choice of different plans at lower cost, better quality.",2,0,1098,obamacare healthcare seniors,1
congressional congratulations congrats,I believe in competition.,2,0,1099,congressional congratulations congrats,1
sen pass agree,That's that's a big topic.,2,0,1100,sen pass agree,1
obamacare healthcare seniors,Can we can we stay on Medicare?,2,0,1101,obamacare healthcare seniors,1
obamacare healthcare seniors,Let's get back to Medicare.,2,0,1102,obamacare healthcare seniors,1
obamacare healthcare seniors,Let's get back to Medicare.,2,0,1103,obamacare healthcare seniors,1
obama president congressman,The president said that the government can provide the service at lower cost and without a profit.,2,0,1104,obama president congressman,1
president obama legislation,"If that's the case, then it will always be the best product that people can purchase.",2,0,1105,president obama legislation,1
businesses business economic,But my experience my experience the private sector typically is able to provide a better product at a lower cost.,2,0,1106,businesses business economic,1
sen pass agree,Absolutely.,2,0,1107,sen pass agree,1
sen pass agree,Absolutely.,2,0,1108,sen pass agree,1
sen pass agree,Regulation is essential.,2,0,1109,sen pass agree,1
jobs economy job,You can't have a free market work if you don't have regulation.,2,0,1110,jobs economy job,0
businesses business economic,"As a businessperson, I had to have I need to know the regulations.",2,0,1111,businesses business economic,1
sen pass agree,I needed them there.,2,0,1112,sen pass agree,1
businesses business economic,You couldn't have people opening up banks in their in their garage and making loans.,2,0,1113,businesses business economic,0
jobs economy job,"I mean, you have to have regulations so that you can have an economy work.",2,0,1114,jobs economy job,0
president obama legislation,Every free economy has good regulation.,2,0,1115,president obama legislation,1
